term,abbr_by_first_letters
локтевая борозда задняя медиальная,ЛБЗМ
Бурденко операция,БО
полулунная складка,ПС
фантазии бредоподобные,ФБ
филогенез,Ф
глазничная щель верхняя,ГЩВ
Финсена болезнь,ФБ
ашоффские клетки,АК
нервно-эпителиальное окончание,НЭО
Thoracici ventrales,TV
Пфлюгера мешки,ПМ
сегментационная полость,СП
подподъязычная ветвь,ПВ
Meningica occipitalis,MO
недержание мочи ложное,НМЛ
интерференция,И
медицина спортивная,МС
пропедевтика,П
эпителиома туловища плоская,ЭТП
Гилкриста бластомикоз,ГБ
Interosseus (antibrachii) volaris,I(V
популяция,П
подсвязочное пространство гортани,ППГ
неостриатум,Н
F. colli superficialis,FCS
Nasalis retinae superior venula,NRSV
"F. profunda,",FP
Eaton,E
речь скандированная,РС
Шольца-Бильшовского болезнь,ШББ
ущемление,У
Клейста парафрения,КП
запас медицинского имущества,ЗМИ
кератодермия,К
отек голодный,ОГ
угол косоглазия,УК
Эсмарха нож,ЭН
двуручное исследование,ДИ
Asboe-Hansen,AH
паралич рефлекторный,ПР
синдром посткоммоционный,СП
первичное посещение,ПП
Шмиден,Ш
Doleris,D
псевдогидрартроз,П
Нахласа метод,НМ
самолет-лаборатория,СЛ
Interossei palmares,IP
Retinaculum musculorum flexorum,RMF
ретиноевая кислота,РК
Никольского,Н
Вестфаля симптом табетический,ВСТ
Muir,M
слизистый барьер,СБ
дегельминтизация диагностическая,ДД
Геселевича зонд-вилка,ГЗВ
эласто-,Э
Phrenicogastrica pars (mesogastrii dorsalis),PP(D
дисплазия спондилоэпифизарная поздняя,ДСП
бредовая вспышка,БВ
thysanothrix,T
угол качания,УК
пестин,П
ре-,Р
мезотенон,М
пфропфгебефрения,П
Jellinek,J
полость брюшины,ПБ
эспандер,Э
кифоз подростковый,КП
лекарственные растения,ЛР
Cuneiforme primum os,CPO
анорексия,А
солнечная активность,СА
Vag. tendinum mm. abductoris longi et extensoris brevis pollicis,VTMALEEBP
Duncan,D
Бильрота-Оллье-Старкова разрез,БОСР
Бирхера эзофагопластика,БЭ
гередо-,Г
антиандрогены,А
спинные ветви,СВ
пальценосовая проба,ПП
психическая незрелость,ПН
адиуретин,А
осмотерапия,О
машина,М
стадия медленной реполяризации,СМР
кататимия,К
трискайдекафобия,Т
Посадас,П
бластофтория,Б
биологическая проба,БП
Toyama,T
B. intratendinea olecrani,BIO
ноготь вогнутый,НВ
гистеросальпингография,Г
тест перкуссионного молоточка,ТПМ
онихоклазия,О
Харада,Х
светолечение,С
надгрушевидное отверстие,НО
прединфарктный период,ПП
психоневрология,П
спортивная форма,СФ
трещина соска,ТС
Iliocostalis thoracis,IT
Шатерникова камера,ШК
протоконид,П
холероген,Х
пневмогинекография,П
сидероскоп,С
энтеробиопсия,Э
тилез,Т
пальцы пружинящие,ПП
неофрения Кальбаума,НК
кортикоплеврит,К
вироспора,В
панникулит мигрирующий узловатый,ПМУ
пульпэкстрактор,П
Бюргера синдром,БС
Соколовского аппарат,СА
гипертермия электрическая,ГЭ
телигения,Т
офтальмоплегия,О
кататония,К
арахноид-,А
везикуловирусы,В
бахромки маточной трубы,БМТ
осморегуляция,О
синдром легочно-почечный наследственный,СЛПН
синусотомия,С
трихиноз,Т
эффект основателя,ЭО
саркома геморрагическая множественная Капоши,СГМК
плевроперикардиальная складка,ПС
Cogan,C
Фрелиха синдром,ФС
трихоцисты,Т
рукоятка грудины,РГ
синдром акинетико-ригидный,САР
микромеркуриализм,М
Синьорелли признак,СП
Гартингса прогерия,ГП
Пика аденома,ПА
спорозоитный индекс,СИ
Розенбаха реакция,РР
Касла внешний фактор,КВФ
декомпенсация,Д
оргастичность,О
интракраниальный,И
эпителиома,Э
Вундерли реакция,ВР
Gingivales superiores,GS
внутрипсихические понятные связи,ВПС
мальротация кишечника,МК
придаток привеска яичка,ППЯ
антитромбопластиногены,А
незаращение мочеиспускательного канала верхнее,НМКВ
